# Original file: "vega_c95.fits"
# this is the vega spectrum from ATLAS12
# It covers 0.09 - 2.6 microns with uniform spacing of 0.1nm
# downloaded from here: ftp://ftp.stsci.edu/cdbs/grid/k93models/standards/
# see the readme there for more details.
#
# wavelength units are angstroms
# flux units are erg cm-2 s-1 angstrom-1

wavelength flux
1246.500 1.23232E-10
1247.500 1.37674E-10
1248.500 1.55986E-10
1249.500 1.68832E-10
1250.500 1.81652E-10
1251.500 2.08755E-10
1252.500 2.72915E-10
1253.500 2.66488E-10
1254.500 3.45574E-10
1255.500 4.43039E-10
1256.500 3.95370E-10
1257.500 4.78213E-10
1258.500 5.33762E-10
1259.500 3.86343E-10
1260.500 6.04413E-11
1261.500 2.34789E-10
1262.500 6.06085E-10
1263.500 6.14045E-10
1264.500 1.30946E-10
1265.500 3.59525E-10
1266.500 6.71061E-10
1267.500 1.00546E-09
1268.500 1.29129E-09
1269.500 1.35914E-09
1270.500 1.33571E-09
1271.500 1.35184E-09
1272.500 1.45616E-09
1273.500 1.80839E-09
1274.500 1.38070E-09
1275.500 1.24010E-09
1276.500 1.40718E-09
1277.500 4.20621E-10
1278.500 2.43975E-09
1279.500 1.39235E-09
1280.500 5.30204E-10
1281.500 2.68018E-09
1282.500 2.90439E-09
1283.500 2.76140E-09
1284.500 3.03815E-09
1285.500 3.23283E-09
1286.500 2.81632E-09
1287.500 2.49533E-09
1288.500 1.52969E-09
1289.500 2.50619E-09
1290.500 2.64251E-09
1291.500 2.99955E-09
1292.500 3.05659E-09
1293.500 2.92421E-09
1294.500 2.89342E-09
1295.500 2.92454E-09
1296.500 2.62187E-09
1297.500 3.66382E-09
1298.500 2.74450E-09
1299.500 3.04275E-09
1300.500 3.78513E-09
1301.500 2.42756E-09
1302.500 1.37027E-09
1303.500 2.37477E-09
1304.500 5.00429E-10
1305.500 5.16042E-10
1306.500 2.09440E-09
1307.500 3.67553E-09
1308.500 2.79710E-09
1309.500 5.72045E-10
1310.500 2.30964E-09
1311.500 2.41600E-09
1312.500 4.03219E-09
1313.500 3.75429E-09
1314.500 4.93386E-09
1315.500 4.15037E-09
1316.500 3.15940E-09
1317.500 3.97681E-09
1318.500 4.17138E-09
1319.500 4.19949E-09
1320.500 4.45571E-09
1321.500 5.09040E-09
1322.500 5.26293E-09
1323.500 3.06670E-09
1324.500 4.85230E-09
1325.500 5.33325E-09
1326.500 4.50893E-09
1327.500 4.25774E-09
1328.500 4.41229E-09
1329.500 2.94594E-09
1330.500 5.06397E-09
1331.500 4.97552E-09
1332.500 5.47640E-09
1333.500 4.73763E-09
1334.500 2.21627E-09
1335.500 1.13649E-09
1336.500 3.41771E-09
1337.500 5.38513E-09
1338.500 5.54022E-09
1339.500 5.46460E-09
1340.500 5.35193E-09
1341.500 5.17998E-09
1342.500 5.58263E-09
1343.500 6.07645E-09
1344.500 5.33542E-09
1345.500 4.94936E-09
1346.500 5.48272E-09
1347.500 5.33942E-09
1348.500 5.27612E-09
1349.500 5.31267E-09
1350.500 4.75483E-09
1351.500 5.75650E-09
1352.500 4.85306E-09
1353.500 5.64285E-09
1354.500 5.46806E-09
1355.500 4.87635E-09
1356.500 5.82665E-09
1357.500 4.46408E-09
1358.500 5.99630E-09
1359.500 3.71893E-09
1360.500 5.07604E-09
1361.500 5.05241E-09
1362.500 5.12019E-09
1363.500 5.35454E-09
1364.500 3.85877E-09
1365.500 5.28135E-09
1366.500 5.47667E-09
1367.500 4.17961E-09
1368.500 3.54274E-09
1369.500 4.71397E-09
